source,target
513227,272396
510661,9643
184041,291885
375203,291885
9523,250451
84759,250451
468168,487373
242320,394064
421327,394064
35664,88704
9643,510661
39010,510661
249306,384622
146333,423428
71908,388842
297003,388842
124720,314351
486169,314351
176311,474861
329725,474861
97092,176311
443288,176311
474861,176311
528262,398526
93846,516271
237468,516271
429262,516271
538644,92163
200047,413836
212155,413836
395363,413836
400455,413836
493392,413836
531931,413836
266144,302925
83927,281600
180869,281600
257273,281600
308841,281600
318574,281600
118556,318574
281600,318574
443403,318574
454866,318574
237676,388713
319337,388713
388713,319337
143215,211003
260681,211003
211003,260681
10017,365397
57848,365397
107352,365397
298714,365397
453394,365397
25243,123895
389217,328216
495510,328216
73614,206180
62,73614
34360,73614
206180,73614
392455,73614
503471,73614
510033,73614
528636,96520
473437,221984
154326,213649
61667,293260
201251,293260
537512,293260
96030,537512
293260,537512
478058,93262
110285,100211
520417,152469
351649,148701
105906,3208
196862,336110
341546,216872
362610,216872
383396,216872
300175,415601
114425,2844
42407,120875
310664,120875
539597,419815
148349,432568
339920,432568
455403,432568
472810,432568
488369,432568
516900,512988
19945,536392
387377,536392
415002,536392
199583,42407
154208,222063
389317,222063
527949,222063
454823,395693
254542,320980
226653,254542
11771,459421
292789,459421
340623,459421
536876,459421
61686,340623
79073,340623
95094,340623
114083,340623
184933,340623
215314,340623
277098,340623
296396,340623
366049,340623
414686,340623
459421,340623
505454,340623
365503,366171
35014,378332
101948,300203
327242,296396
402032,296396
305502,198251
335597,269850
231908,13018
273868,13018
7405,311090
27041,311090
106931,311090
157859,311090
161624,311090
318488,311090
393998,311090
526919,311090
76182,518084
474147,518084
162385,366624
339982,372671
399123,372671
441569,38251
478295,65136
548486,340867
203197,320731
209299,320731
464096,320731
532843,320731
292166,154037
371779,154037
79710,329888
394983,345627
3071,7015
252092,2074
275293,2074
341117,2074
537868,2074
100211,110285
65136,478295
182418,326625
416880,326625
487558,326625
179673,315438
96649,312920
155862,347329
88127,382476
204525,382476
329888,79710
394787,216844
208783,208175
450894,208175
38347,473614
541806,473614
96523,123748
220454,123748
235114,338991
412204,338991
222286,67225
389838,67225
264987,396027
345024,396027
487644,396027
343420,135839
368950,135839
338480,145698
373839,145698
186422,29266
208111,29266
180112,272032
166531,373958
368275,373958
194050,68330
135839,343420
315438,343420
453942,51891
241240,13556
92676,459172
465457,165137
194195,155413
267711,155413
272032,180112
83935,203733
127251,203733
129522,203733
119831,130117
327872,130117
492246,130117
76762,135147
417807,415062
141629,513912
475232,513912
464808,141629
513912,141629
71594,299523
3154,465094
82343,465094
198955,465094
29200,259276
501627,259276
258244,342161
441375,518406
2890,465594
7663,465594
114793,465594
370676,465594
369305,201734
50382,420096
82402,420096
87768,420096
174869,420096
392082,420096
459788,420096
470566,420096
500488,420096
541150,420096
315795,153040
513187,153040
330725,9295
346831,478134
211168,331966
27489,389838
401279,389838
95831,91209
459482,91209
459475,66330
130117,327872
398749,327872
513283,327872
4971,70506
252336,70506
305770,70506
378768,70506
510255,70506
51883,211602
109866,478445
280405,478445
299763,478445
367623,478445
461172,478445
485280,478445
119308,257728
154881,25853
349163,25853
217668,3154
465094,3154
61569,513205
92756,513205
102677,513205
130082,513205
169572,513205
190519,513205
234605,513205
421478,513205
435541,513205
473741,513205
534401,513205
32607,142548
110746,142548
274353,76776
256321,278606
457739,444046
77830,417807
415062,417807
323212,434612
514839,434612
95309,454676
177390,454676
357099,454676
455962,454676
366805,337006
124186,170668
534879,381135
281104,24198
4631,70893
28970,70893
348813,70893
402596,70893
501672,70893
40159,209581
60798,209581
122481,209581
365498,209581
379391,209581
530991,209581
147394,170089
388648,170089
14097,4863
84979,232847
106756,232847
195172,232847
257771,232847
284285,232847
379914,232847
505720,232847
534663,516645
44085,113097
75061,113097
316658,113097
327889,113097
453724,113097
475178,113097
506368,113097
522120,113097
334951,212979
538246,212979
446497,473459
161834,203932
343383,203932
439856,203932
356530,418658
394875,418658
397990,418658
425058,418658
531617,418658
111936,523580
83609,543418
129507,543418
295814,543418
29405,95309
35948,95309
105679,95309
454676,95309
511625,95309
522158,95309
448858,248125
512027,248125
6446,165889
131500,165889
146980,165889
218785,165889
248291,165889
328680,165889
427483,165889
29847,260507
113954,260507
145387,260507
330875,260507
78330,514792
271112,514792
136725,73228
452046,73228
29266,467587
338314,467587
146428,32481
49484,56938
289446,332180
528555,235021
508316,417478
526055,417478
518406,441375
537931,372216
102497,482690
152447,287279
280175,85027
365459,526074
366366,105625
144267,302980
315579,247702
291447,381978
540255,519241
375673,215516
337006,382810
94091,129507
258789,129507
26021,239025
45332,239025
106662,239025
200735,239025
218708,239025
256875,239025
393276,239025
452396,239025
468004,239025
317205,142004
31754,92798
84478,92798
364326,92798
387591,92798
429398,420265
96605,508709
54630,18745
215053,18745
155872,39412
517469,75631
354002,533092
353644,362157
25415,533647
33444,533647
125061,533647
133484,533647
153855,533647
230277,533647
27517,180285
292306,154994
312761,154994
315160,154994
325813,154994
469219,154994
533414,154994
540450,154994
164723,130274
283174,130274
399256,251955
7943,203911
160207,203911
406226,203911
236708,342053
10893,452833
280038,411210
426648,411210
320557,405281
426782,405281
2241,283174
130274,283174
470928,344568
116275,320486
136879,36732
485753,36732
174773,153155
199817,153155
22933,61242
81096,61242
99793,61242
180285,61242
336984,61242
425333,61242
465152,232277
289372,81862
72934,106466
347032,106466
54861,274081
11792,489490
72359,489490
73433,489490
489504,489490
542741,489490
492713,44968
297112,69564
376970,69564
27855,211474
221759,211474
344453,211474
467445,211474
457687,425333
24702,377449
514111,377449
112820,353486
371367,353486
135744,541806
473614,541806
241437,493790
110060,245597
460637,245597
223074,148553
368726,241437
68330,417297
87763,417297
190884,417297
233126,417297
401428,417297
60387,64790
112032,35699
473605,35699
127,183055
107317,183055
259165,183055
285305,183055
290825,183055
411614,183055
502306,183055
540187,183055
133850,38775
28777,18088
122452,18088
365090,18088
426058,18088
508192,18088
513789,18088
520829,18088
303108,508084
90222,483099
102260,483099
112916,483099
173477,483099
227312,483099
351222,483099
520648,483099
83829,137361
99622,137361
541084,137361
7727,90334
285975,221607
430015,221607
26581,129092
36991,129092
540440,129092
69564,376970
91209,376970
257554,376970
49628,30509
284189,30509
382750,30509
76872,9997
176821,9997
223534,9997
264960,9997
323544,9997
334396,9997
347694,9997
432341,9997
436885,9997
102815,250607
225931,354336
227451,354336
293738,354336
329374,354336
104734,181826
118584,181826
137095,181826
252848,181826
493238,181826
537591,181826
359945,285737
523375,285737
92397,268417
341160,268417
369089,268417
440677,268417
104388,196999
40636,122245
42118,122245
50506,122245
141100,122245
354398,122245
361142,122245
381405,122245
381507,122245
459450,122245
525028,122245
534643,122245
320859,512970
178319,435621
525263,18846
314991,504684
285737,359945
333822,359945
243846,16638
122636,427677
403812,427677
473214,427677
263960,64724
329801,64724
258804,52068
188920,227312
249557,346831
332948,346831
420190,404161
443471,404161
495029,189608
133651,85340
301176,85340
87753,329192
207752,329192
300539,329192
474476,329192
329453,241394
217299,199655
199655,144641
130206,340038
202540,461546
56709,110063
307483,126994
2032,248586
105950,248586
153931,248586
139096,314742
105891,259796
194342,259796
543378,259796
189768,68357
55216,256342
507676,256342
256342,507676
377521,507676
409598,507676
368058,121010
516658,421938
167887,118875
188274,118875
394712,118875
459681,118875
460429,118875
76667,229832
262606,229832
156791,177051
532929,177051
267659,468754
227087,531450
266311,531450
313780,531450
79542,24470
24189,518763
43427,518763
54769,518763
60575,518763
225054,518763
264819,518763
371178,518763
433891,518763
494071,518763
501818,518763
323977,455538
410028,489801
109803,309356
184564,309356
402841,348425
410484,348425
187225,111483
139986,88862
457391,88862
293984,12182
410700,12182
257789,501839
424022,501839
17525,262163
395543,262163
145336,143878
160286,143878
487417,143878
514684,143878
530827,430044
50412,364355
359292,88485
16222,354760
57165,354760
252127,354760
162472,201177
158361,233687
509414,169953
307544,303875
511991,370547
330222,338649
79922,94436
137675,94436
324715,94436
345798,94436
401895,94436
408093,94436
435096,94436
517717,436398
259473,293198
26141,334467
59454,334467
112561,334467
234424,152238
279560,152238
23414,511017
22909,30779
147263,434878
391215,434878
426095,434878
82211,198378
234555,477038
498031,477038
141399,150033
2224,472205
298174,432730
341260,432730
346804,432730
71300,93852
85433,263859
56753,153340
211749,9511
523423,9511
7433,401363
144340,401363
189093,401363
242813,401363
74935,293413
285417,293413
310266,293413
311011,293413
433529,293413
446838,293413
478653,293413
166815,251879
339402,441485
159059,208391
248112,208391
423192,208391
288811,410851
297984,410851
327549,410851
353189,137199
115930,107346
195354,107346
249211,107346
349017,107346
480886,107346
73202,106447
433914,106447
10568,217164
321001,217164
186094,422210
514663,422210
88552,34348
524270,442485
329274,401600
25047,353676
197080,353676
334169,353676
395099,353676
397244,353676
401600,353676
428975,353676
319080,123053
337378,133960
351763,330998
383611,330998
487880,330998
454374,37253
535560,125956
231094,289401
104109,383611
125956,383611
48156,523872
449505,523872
281525,398138
23022,114627
139562,114627
242738,114627
260712,114627
275956,114627
360833,114627
440904,114627
499524,114627
122693,160002
476343,179219
42844,107723
109155,171322
193506,171322
474526,202281
463780,341620
421012,510015
166808,487248
363998,365278
290521,526525
365278,526525
424848,526525
85098,42944
99482,42944
249846,42944
463399,216484
400705,206195
222503,206746
345402,206746
496015,206746
206746,345402
356374,345402
123916,100524
20780,36366
96008,496270
493582,503017
307169,39440
469653,155863
513306,104726
12489,274237
181597,274237
58435,290521
199592,290521
265847,290521
526525,290521
423429,2910
400186,166070
161759,398032
211056,398032
242463,398032
335685,398032
480836,382898
254365,312235
312235,254365
483053,248801
7904,421258
249005,421258
56631,386254
223553,386254
410127,386254
35026,532429
32046,522124
522124,32046
1291,298163
178614,298163
221007,116726
195627,385645
381379,132363
16372,254106
132363,381379
487755,381379
151028,16372
169413,16372
254106,16372
272573,16372
348410,341990
341990,348410
501109,348410
40109,178614
298163,178614
116726,221007
10389,198822
448979,198822
415846,528357
54660,92779
97820,92779
123346,176051
176051,123346
81872,4048
155877,4048
211669,302579
497048,302579
103765,449445
192946,449445
360542,449445
440569,449445
155484,354225
58167,124414
399340,489793
117506,389257
364133,192993
230366,253055
297382,253055
476230,253055
212153,75259
442392,75259
75259,442392
146200,442392
443398,95991
295064,484610
344141,484610
210645,132163
54007,110915
453411,225637
127516,493878
270627,493878
527843,493878
27696,86380
295314,86380
527970,86380
371630,155009
342841,277440
277440,409395
298361,515278
385630,515278
355637,521991
498594,521991
320818,490560
435324,490560
120811,187790
217873,187790
487441,187790
125671,122493
150190,122493
313453,122493
497273,7613
7613,497273
206610,93775
247052,93775
500461,93775
101745,142966
328076,142966
389274,142966
124422,517063
178761,517063
206313,517063
236838,517063
324948,517063
538579,517063
275314,167948
351645,167948
520700,118346
164375,93746
423318,520700
458174,64783
426314,256357
65953,370351
70466,370351
77486,370351
153754,370351
177360,370351
356630,370351
366750,370351
403040,370351
474996,370351
478947,370351
7157,60579
38103,60579
276517,60579
453442,60579
60579,276517
89117,276517
98554,276517
198360,276517
370351,276517
461696,276517
42755,483957
66197,483957
69693,483957
146303,483957
159452,483957
212422,483957
233247,483957
307540,483957
324669,483957
6614,377042
172076,377042
348575,377042
47276,337558
376494,337558
410948,25817
368146,40422
35328,82036
63821,82036
147850,82036
196377,82036
247324,82036
300419,82036
323449,82036
409722,82036
419162,228290
426355,228290
91438,525171
201850,525171
351408,525171
456801,525171
42442,15457
189203,531800
331498,332785
350934,332785
236693,291471
318653,101888
387373,101888
416737,101888
35590,126549
541994,126549
320876,384990
185447,267291
189209,267291
211207,267291
221901,267291
258622,267291
333236,267291
229301,289422
429545,3163
187790,411512
242459,411512
73291,265836
149982,265836
346162,265836
38174,56106
46872,56106
119095,56106
214459,227465
342093,300195
25817,410948
269718,410948
7708,279304
288381,279304
539158,279304
111974,129163
197215,129163
333245,129163
347867,129163
449924,129163
467453,129163
370094,104506
255979,153795
73719,507142
170291,507142
210653,507142
466444,507142
532963,507142
217505,473767
13162,83076
12314,521293
80798,521293
260786,521293
452202,521293
525788,521293
11690,420772
463334,420772
207512,232515
232515,207512
5743,32924
46940,32924
84524,32924
111370,32924
122117,32924
407956,32924
447057,32924
529036,32924
53332,457375
216671,457375
482978,457375
268860,531138
311621,198527
456539,198527
513558,198527
381877,311661
92349,304278
243155,304278
265767,231351
289921,231351
367857,231351
185632,475582
245532,359964
484564,282574
14151,64057
491577,64057
128842,349495
136135,349495
413744,349495
222928,200940
406459,200940
471286,200940
100010,222928
108944,222928
200940,222928
447763,222928
34903,296751
50566,296751
128194,296751
262614,296751
321135,296751
371161,296751
503842,296751
150360,414306
296751,414306
329221,414306
361178,414306
57277,319739
157100,319739
159026,319739
170308,319739
270170,319739
350761,319739
414306,319739
505990,319739
199477,541155
22939,35926
97532,35926
203718,35926
349860,35926
2406,417842
512659,209605
128990,4987
347691,4987
387077,224956
138600,91461
177904,91461
210506,91461
481928,91461
495809,91461
535413,233348
201070,409905
232328,409905
460728,364712
324340,46070
123001,258689
368735,258689
486883,258689
103152,208927
197957,208927
254218,208927
10675,303295
272458,303295
374047,303295
141927,205716
157182,205716
210827,205716
294362,205716
302383,205716
219375,516492
311230,516492
506256,516492
22586,246342
55594,246342
69704,246342
75919,246342
259738,246342
266109,246342
285528,246342
344344,246342
393924,246342
28994,474643
259861,521449
308594,521449
499599,521449
543512,521449
71143,178702
503781,178702
547631,178702
287793,134794
120929,334152
3018,391208
86477,185494
330242,506234
479895,506234
43321,512659
187658,67981
209605,67981
253593,67981
67981,43321
456380,43321
46491,470203
108834,443398
107157,10422
264019,10422
496543,10422
540135,10422
156865,308126
293431,308126
360534,308126
530686,308126
133525,191050
155253,191050
445964,191050
543392,191050
76128,170308
360998,170308
175994,145148
176038,130481
132896,342015
454399,342015
226282,210577
249886,210577
27949,114062
64598,114062
89439,114062
217835,114062
228825,114062
279489,114062
280789,114062
384990,114062
78429,64598
114062,64598
346335,64598
456675,64598
245434,203321
148334,149335
123809,522597
37891,268065
429854,268065
268065,515652
73426,183471
365255,183471
106733,385306
194228,361440
385306,361440
366327,313309
436268,19547
388500,509630
19547,388500
364719,388500
509630,364719
15490,456380
52977,18358
18358,126945
297548,126945
86733,244372
269187,244372
96281,86733
244372,86733
341651,525100
495730,44967
316143,520219
360565,520219
217333,225760
351165,225760
50170,211592
92734,211592
102623,211592
213078,211592
365429,211592
427873,211592
519707,211592
431538,6600
118051,223048
298446,223048
429649,223048
238910,508829
420597,508829
532442,508829
144505,425615
148824,425615
299002,425615
151891,8762
430866,8762
76452,293383
159460,419468
379750,419468
408091,12935
212405,123711
475451,123711
211442,70020
418057,144222
404559,241134
163055,489333
223384,489333
413764,489333
1490,199772
77341,199772
108596,199772
360769,503408
530798,503408
398048,297755
22618,240473
43434,240473
45397,240473
149090,240473
203311,240473
388539,240473
117672,497242
163895,497242
151665,146940
81594,67525
477972,67525
310726,357392
125148,324625
84076,136986
522988,313874
68661,461233
17611,508858
17715,508858
21518,508858
27966,508858
30510,508858
67500,508858
70124,508858
128290,508858
147416,508858
180256,508858
209188,508858
217344,508858
218045,508858
222499,508858
223527,508858
257348,508858
285633,508858
293177,508858
298784,508858
315995,508858
322489,508858
330500,508858
373465,508858
396422,508858
416314,508858
420183,508858
474564,508858
476367,508858
493277,508858
507893,508858
320731,209299
1011,337096
210440,351637
218177,351637
360665,351637
74046,133928
152603,133928
158996,133928
44010,361556
87386,283187
409541,366728
61262,38166
86490,38166
127885,38166
150761,38166
185838,314357
229540,314357
362535,314357
461420,314357
481194,314357
488884,314357
529015,314357
297999,137371
231877,332320
376084,332320
381068,332320
465404,332320
180259,2081
321462,2081
416937,2081
302846,491573
18832,67456
98706,67456
108949,67456
162141,67456
169834,67456
273835,67456
385530,67456
397455,67456
430960,67456
462177,67456
466888,67456
518709,67456
534852,87294
403835,61866
61866,248534
198356,248534
236589,248534
500149,185577
167943,367411
325954,367411
436431,367411
317709,228479
125182,280698
91813,155657
245367,155657
412065,155657
89851,130898
484163,312717
16956,19777
120304,19777
178967,19777
438084,19777
517221,19777
517745,19777
238376,484858
133438,101970
216435,101970
278733,101970
395535,101970
131245,52400
186273,52400
512598,52400
365926,188783
44905,422835
123923,422835
373658,422835
37091,43621
75981,43621
86241,43621
114422,43621
326535,43621
428906,43621
433577,43621
476861,43621
479056,43621
516142,43621
169318,163668
253827,163668
84633,189574
109221,189574
197614,189574
259624,189574
347700,189574
532463,189574
527641,155373
209424,379573
236044,379573
237026,379573
290920,379573
359096,379573
438944,214765
514464,214765
32144,220837
113646,220837
278927,220837
521124,220837
262674,211347
295194,211347
309802,211347
37814,226620
388821,226620
65704,409743
304355,409743
386061,409743
11538,456604
102607,456604
146390,456604
182129,456604
191390,456604
380153,456604
439430,456604
292677,188735
450011,31830
95457,440812
476644,44315
44315,292677
188735,292677
480949,35458
292923,203431
494902,203431
468794,128753
44161,542663
503601,542663
310109,133055
228927,523699
275682,523699
522274,52323
334353,12976
337096,1011
248726,390072
327871,390072
474871,390072
498942,390072
389287,31311
306056,176190
90520,272460
266890,272460
511374,272460
54993,35584
459770,35584
521043,35584
2821,76570
171773,76570
187877,76570
253502,76570
382435,76570
436702,76570
290723,379961
309526,427811
474238,117218
147507,123231
379791,123231
507841,123231
347006,44897
138837,514464
214765,514464
428877,514464
123588,516414
212883,516414
361600,516414
446519,104251
366935,173812
351637,360665
367810,360665
375279,191350
61405,320580
149197,320580
193926,320580
205875,320580
227789,320580
367309,320580
527109,320580
138254,118928
166196,118928
201675,118928
260797,118928
352092,118928
483951,98959
266682,536458
281028,536458
108091,226626
197203,226626
320580,227789
4308,425878
493067,425878
458025,148220
118616,302761
179093,302761
218224,302761
239258,302761
263383,302761
278165,302761
283409,302761
307478,302761
330989,302761
333757,302761
357994,302761
509019,302761
287058,303607
305471,303607
397502,519929
421311,519929
232067,333757
336260,460457
32925,268369
82527,268369
107509,268369
121862,268369
122348,268369
206514,268369
227225,268369
235143,268369
239578,268369
264178,268369
269248,268369
284576,268369
319985,268369
367667,268369
375642,268369
380342,268369
439159,268369
448963,268369
475751,268369
477255,268369
515298,268369
523649,268369
548293,268369
115095,81087
407793,81087
431835,81087
467358,536716
146613,490359
171764,490359
390875,490359
538779,490359
243795,445717
268296,445717
5444,239578
122247,239578
220790,239578
268369,239578
498027,239578
540777,239578
218824,288619
445717,268296
16128,218824
48331,218824
52840,218824
117926,218824
288619,218824
312519,218824
56971,171764
490359,171764
185313,305096
208086,305096
193660,361048
293088,361048
318788,463085
243178,520322
384148,520322
402444,520322
426350,520322
446024,520322
498126,520322
292542,164309
405500,164309
425449,446024
532147,446024
8495,386545
164309,386545
439535,188775
504905,188775
44025,367667
76987,367667
280106,367667
328597,367667
536716,367667
91083,118616
281651,118616
302761,118616
282956,394190
356170,394190
462380,394190
66961,255573
442641,255573
176938,442118
466642,442118
46170,205875
67883,205875
105792,205875
317160,205875
152809,194983
159435,194983
291253,194983
356408,194983
359636,535678
369296,535678
26634,166260
30356,166260
486772,166260
69913,238490
97716,238490
133830,238490
214766,238490
278781,238490
357892,238490
403784,238490
421425,238490
486614,238490
493172,18765
136868,317862
154853,317862
115121,63986
119768,63986
214393,158712
125107,516524
197732,1829
210619,1829
252185,1829
436738,1829
273035,446790
545430,446790
99907,179093
377359,179093
380414,179093
394439,179093
93333,356170
394190,356170
489947,356170
444451,421311
98077,493139
147138,122634
411691,122634
56773,11880
520413,11880
11880,56773
501518,56773
299663,521970
372052,521970
214116,473681
309415,473681
329596,473681
411557,473681
446790,473681
505507,473681
473923,60785
540610,60785
104034,369068
497899,372052
521970,372052
270942,185613
320280,185613
440236,185613
93279,363624
175194,92651
222139,92651
284725,92651
288956,92651
399434,92651
419213,92651
423209,92651
425878,92651
367487,525302
494697,270691
150125,142263
489202,142263
238653,518317
39431,238653
141648,238653
518317,238653
104920,154292
154292,104920
465178,175194
92651,222139
164817,222139
228992,399434
59425,341103
98915,341103
139846,341103
337558,47276
150455,109708
224784,109708
231650,109708
248276,109708
269036,109708
398655,109708
424474,109708
469369,109708
74642,171420
276866,171420
486189,171420
69733,39670
274734,39670
303607,39670
320707,39670
360996,39670
506854,39670
519929,39670
392124,55740
135648,426206
443430,426206
18065,322723
246385,322723
187416,197940
369058,197940
307160,156762
83936,167694
471687,167694
516693,198048
7985,491078
251087,491078
454466,491078
101600,514515
476383,514515
511680,29430
356415,165170
281977,301537
483461,301537
2176,110829
55740,392124
243990,392124
121397,268760
12178,122240
238012,122240
10967,378291
376082,378291
29872,350352
211170,350352
331596,350352
29430,176938
204007,176938
322222,176938
442118,176938
415264,139558
466051,139558
228885,517466
473681,329596
154160,487175
512050,511955
84519,119167
101106,119167
119089,119167
141019,119167
143759,119167
229772,119167
289423,119167
308116,119167
311536,119167
337873,119167
376001,119167
405815,119167
455496,119167
523488,119167
349436,159606
484793,391068
486660,391068
384051,539517
11907,86305
520775,293584
58561,180739
6551,452411
161086,334281
109067,118186
459340,118186
146302,387724
471964,142544
83637,111665
162970,12457
251896,12457
304961,471378
349848,245481
220353,343718
317815,343718
488840,343718
165271,462719
466265,198455
261316,433254
336539,433254
464460,422947
386953,538884
411595,538884
435584,538884
29737,326210
140102,326210
400555,326210
424440,326210
63228,192374
156883,192374
322854,192374
369576,192374
394289,192374
472552,192374
45978,257304
93093,414070
436756,414070
23314,361176
98204,361176
306679,361176
452822,361176
460311,361176
77717,389620
102373,389620
523454,413396
170461,502786
262995,502786
80563,477925
193928,477925
122922,172971
148974,172971
44529,385533
115318,385533
70458,457446
275035,82347
276260,82347
112099,529464
405462,529464
113016,318157
187511,318157
364922,254508
274380,278802
41472,198235
220282,181297
534751,181297
275908,301826
517178,301826
467562,12253
247903,427595
240473,149090
491398,149090
130706,221315
361888,418780
488015,301597
297169,34355
285353,271843
70328,247382
94257,247382
429001,247382
104658,222499
366173,496347
114029,162251
313548,162251
350581,162251
374632,162251
162251,137457
352176,48860
313741,542887
118216,524530
473658,116817
25873,282712
90447,392354
381432,392354
514038,392354
68149,215664
108584,215664
226299,215664
231351,215664
234546,215664
242551,215664
266425,215664
281259,215664
286743,215664
358104,215664
415398,215664
437928,215664
494391,215664
530207,215664
532788,215664
538964,215664
87207,533329
78862,162653
100460,162653
101274,426813
127192,487877
175710,487877
194081,487877
229477,487877
293860,487877
302490,487877
415658,487877
499106,487877
94289,424291
451464,424291
3087,265679
196000,265679
358534,265679
179088,340992
534460,340992
79687,179088
340992,179088
109090,438915
47894,9611
248762,222587
277611,222587
458640,222587
361009,84420
435425,84420
115841,35095
392354,35095
101835,513161
138151,513161
203934,513161
212259,513161
258754,513161
262111,513161
272664,513161
299492,513161
344986,513161
359762,513161
450422,513161
523810,513161
81171,138401
30554,345897
384783,345897
495741,345897
138426,528277
283794,528277
306669,528277
177203,478746
358258,478746
350951,430753
12187,263024
136875,263024
487262,3940
361440,194228
19931,428968
67513,428968
70384,428968
99022,428968
204560,428968
275355,428968
325353,428968
448450,428968
501453,428968
527837,428968
543949,428968
143878,476819
155187,476819
349290,476819
493295,476819
257543,251022
43975,524708
300486,524708
113570,174375
127142,174375
154855,174375
248043,174375
286733,174375
309571,174375
335811,174375
429457,174375
459416,174375
520973,174375
5402,459564
51492,459564
139468,459564
198362,459564
283125,459564
383858,459564
449949,459564
509227,459564
153856,24570
315717,24570
374645,277806
528405,277806
140028,537021
190134,537021
337596,537021
465507,537021
40086,83503
328003,83503
62540,243566
69153,243566
136506,243566
195667,243566
368615,243566
438267,243566
488315,243566
492476,243566
541882,243566
543405,243566
54357,93163
457208,154817
61193,222682
114541,222682
186236,222682
207245,222682
290176,222682
412920,222682
109217,106135
185891,106135
235848,106135
341640,106135
392927,106135
396520,106135
426537,106135
29860,255877
217504,255877
536074,255877
74838,214218
314129,251812
247982,381802
317502,381802
481146,381802
490475,381802
96210,313741
462183,156383
360836,473337
483303,473337
177576,285674
296051,351188
28163,49170
89181,49170
92032,49170
113706,49170
115794,49170
231651,49170
268755,49170
291417,49170
292248,49170
308043,49170
371618,49170
485912,49170
474992,44474
80493,70545
248488,70545
272985,70545
47547,230917
403814,230917
58347,18110
306790,18110
354016,18110
433374,18110
224956,387077
135748,28163
138538,459364
369429,459364
404654,459364
32091,533333
94663,80563
477925,80563
220292,243910
223570,243910
223449,278381
373448,278381
48860,410369
236969,410369
248521,160564
61754,281236
110465,281236
226792,281236
